#{"t_start": 1757611876.3384564, "env_id": "None"}
r,l,t
-95.0,5,3.722475
-70.0,5,3.728119
-70.0,5,3.732851
-95.0,5,3.738225
-95.0,5,3.741667
-95.0,5,3.746999
-95.0,5,3.750386
-120.0,5,3.753956
-95.0,5,3.758958
-95.0,5,3.770521
-70.0,5,3.776562
-95.0,5,3.780649
-70.0,5,3.784759
-70.0,5,3.791886
-120.0,5,3.795672
-120.0,5,3.798942
-95.0,5,3.803651
-95.0,5,3.813492
-70.0,5,3.818312
-120.0,5,3.824408
-95.0,5,3.828791
-95.0,5,3.835284
-70.0,5,3.84051
-70.0,5,3.845621
-95.0,5,3.849539
-70.0,5,3.855647
-95.0,5,3.858959
-95.0,5,3.862863
-70.0,5,3.866148
-70.0,5,3.872741
-120.0,5,3.877238
-70.0,5,3.881723
-95.0,5,3.885655
-95.0,5,3.894087
-95.0,5,3.901291
-70.0,5,3.905714
-120.0,5,3.909711
-95.0,5,3.916358
-120.0,5,3.920216
-95.0,5,3.924339
-70.0,5,3.928617
-70.0,5,3.934433
-95.0,5,3.938724
-95.0,5,3.942152
-120.0,5,3.945809
-95.0,5,3.951151
-70.0,5,3.954541
-70.0,5,3.958417
-95.0,5,3.962001
-95.0,5,3.968662
-95.0,5,3.973856
-70.0,5,3.978682
-70.0,5,3.983067
-95.0,5,3.988952
-70.0,5,3.992319
-120.0,5,3.996767
-95.0,5,4.000844
-120.0,5,4.007042
-95.0,5,4.010084
-95.0,5,4.01515
-95.0,5,4.022032
-95.0,5,4.032787
-95.0,5,4.037972
-95.0,5,4.042506
-95.0,5,4.046432
-70.0,5,4.053062
-70.0,5,4.056873
-95.0,5,4.061287
-95.0,5,4.064721
-95.0,5,4.071493
-70.0,5,4.075768
-95.0,5,4.078758
-95.0,5,4.083448
-95.0,5,4.089941
-120.0,5,4.093866
-70.0,5,4.097238
-95.0,5,4.100867
-95.0,5,4.108575
-95.0,5,4.113503
-95.0,5,4.117614
-70.0,5,4.122005
-70.0,5,4.12815
-70.0,5,4.13236
-70.0,5,4.136253
-95.0,5,4.139198
-70.0,5,4.144732
-95.0,5,4.148328
-70.0,5,4.152553
-70.0,5,4.156123
-95.0,5,4.163124
-70.0,5,4.168035
-120.0,5,4.172945
-70.0,5,4.176698
-70.0,5,4.182204
-70.0,5,4.186683
-95.0,5,4.19006
-70.0,5,4.193958
-70.0,5,4.200735
-70.0,5,4.204746
-95.0,5,4.210099
-95.0,5,4.214131
-95.0,5,4.220136
-70.0,5,4.223768
-95.0,5,4.227337
-70.0,5,4.230597
-70.0,5,4.236012
-70.0,5,4.24041
-95.0,5,4.244066
-120.0,5,4.247333
-70.0,5,4.25353
-95.0,5,4.256842
-95.0,5,4.26215
-70.0,5,4.265729
-70.0,5,4.272036
-95.0,5,4.276276
-120.0,5,4.279547
-70.0,5,4.283096
-70.0,5,4.28834
-70.0,5,4.291242
-70.0,5,4.295509
-95.0,5,4.300539
-95.0,5,4.306873
-70.0,5,4.310562
-70.0,5,4.313833
-70.0,5,4.317429
-70.0,5,4.322937
-70.0,5,4.326889
-95.0,5,4.33071
-70.0,5,4.334314
-95.0,5,4.339875
-95.0,5,4.344859
-95.0,5,4.349207
-95.0,5,4.352462
-120.0,5,4.358514
-120.0,5,4.361601
-95.0,5,4.365644
-70.0,5,4.370082
-70.0,5,4.376175
-95.0,5,4.380627
-70.0,5,4.386539
-70.0,5,4.391063
-120.0,5,4.397614
-70.0,5,4.401459
-120.0,5,4.405639
-95.0,5,4.410661
-95.0,5,4.417239
-95.0,5,4.420866
-95.0,5,4.424749
-95.0,5,4.429009
-120.0,5,4.435133
-95.0,5,4.439518
-70.0,5,4.443883
-95.0,5,4.447194
-70.0,5,4.452343
-70.0,5,4.455578
-70.0,5,4.459064
-95.0,5,4.462979
-95.0,5,4.468714
-120.0,5,4.471639
-70.0,5,4.475216
-95.0,5,4.480961
-70.0,5,4.487326
-95.0,5,4.491887
-95.0,5,4.495867
-95.0,5,4.499104
-95.0,5,4.505804
-120.0,5,4.51021
-95.0,5,4.514438
-70.0,5,4.518652
-120.0,5,4.525177
-120.0,5,4.529876
-70.0,5,4.532907
-120.0,5,4.536977
-120.0,5,4.544008
-120.0,5,4.54837
-120.0,5,4.552025
-70.0,5,4.555302
-95.0,5,4.561363
-95.0,5,4.564887
-95.0,5,4.57021
-70.0,5,4.574196
-95.0,5,4.579424
-70.0,5,4.583036
-95.0,5,4.58628
-120.0,5,4.590298
-70.0,5,4.596133
-70.0,5,4.59971
-95.0,5,4.604089
-120.0,5,4.607748
-120.0,5,4.614871
-95.0,5,4.619063
-95.0,5,4.622892
-95.0,5,4.626147
-70.0,5,4.631931
-95.0,5,4.635819
-95.0,5,4.640345
-95.0,5,4.643948
-95.0,5,4.649647
-95.0,5,4.653231
-70.0,5,4.658679
-70.0,5,4.663358
-70.0,5,4.668537
-70.0,5,4.672625
-95.0,5,4.676525
-120.0,5,4.680107
-70.0,5,4.685919
-70.0,5,4.689506
-95.0,5,4.693338
-70.0,5,4.697283
-70.0,5,4.70477
-95.0,5,4.708552
-70.0,5,4.712376
-95.0,5,4.716426
-95.0,5,4.722493
-120.0,5,4.726079
-95.0,5,4.729653
-95.0,5,4.733572
-95.0,5,4.740044
-70.0,5,4.744634
-70.0,5,4.74967
-120.0,5,4.755608
-95.0,5,4.762034
-95.0,5,4.766073
-120.0,5,4.77008
-120.0,5,4.773613
-95.0,5,4.779154
-70.0,5,4.783388
-95.0,5,4.787183
-95.0,5,4.790077
-70.0,5,4.797302
-70.0,5,4.80286
-70.0,5,4.807006
-95.0,5,4.811437
-95.0,5,4.817308
-120.0,5,4.821337
-95.0,5,4.825959
-120.0,5,4.830158
-95.0,5,4.836217
-70.0,5,4.840437
-120.0,5,4.84551
-120.0,5,4.850325
-70.0,5,4.856648
-70.0,5,4.859563
-95.0,5,4.863146
-120.0,5,4.866112
-95.0,5,4.871589
-70.0,5,4.875222
-120.0,5,4.879661
-120.0,5,4.883576
-120.0,5,4.890167
-95.0,5,4.895786
-120.0,5,4.901229
-95.0,5,4.905712
-70.0,5,4.911341
-120.0,5,4.914947
-70.0,5,4.918906
-120.0,5,4.922812
-120.0,5,4.929157
-95.0,5,4.932442
-120.0,5,4.937968
-120.0,5,4.942521
-120.0,5,4.949278
-95.0,5,4.952817
-120.0,5,4.95636
-95.0,5,4.960318
-120.0,5,4.96614
-95.0,5,4.969766
-120.0,5,4.973611
-95.0,5,4.977779
-70.0,5,4.985067
-70.0,5,4.990168
-70.0,5,4.994329
-120.0,5,4.998912
-95.0,5,5.005514
-95.0,5,5.00962
-95.0,5,5.013229
-120.0,5,5.016813
-120.0,5,5.026678
-95.0,5,5.032879
-95.0,5,5.038704
-120.0,5,5.043961
-95.0,5,5.050406
-70.0,5,5.054672
-120.0,5,5.058505
-95.0,5,5.062696
-95.0,5,5.068084
-95.0,5,5.072174
-70.0,5,5.076321
-70.0,5,5.080188
-70.0,5,5.087203
-95.0,5,5.092069
-95.0,5,5.095649
-95.0,5,5.099519
-95.0,5,5.105153
-95.0,5,5.109062
-95.0,5,5.113194
-95.0,5,5.117384
-70.0,5,5.123941
-70.0,5,5.127524
-95.0,5,5.132671
-70.0,5,5.136968
-120.0,5,5.14275
-95.0,5,5.145992
-70.0,5,5.149229
-95.0,5,5.15281
-95.0,5,5.158919
-95.0,5,5.162827
-70.0,5,5.167106
-95.0,5,5.17134
-95.0,5,5.178593
-70.0,5,5.184209
-95.0,5,5.188728
-95.0,5,5.192546
-70.0,5,5.198478
-70.0,5,5.202092
-70.0,5,5.20559
-95.0,5,5.209589
-70.0,5,5.217129
-95.0,5,5.220668
-95.0,5,5.225747
-70.0,5,5.23072
-70.0,5,5.236367
-70.0,5,5.239931
-70.0,5,5.244194
-70.0,5,5.248088
-70.0,5,5.254203
-95.0,5,5.25743
-95.0,5,5.26123
-95.0,5,5.264806
-70.0,5,5.270959
-95.0,5,5.280167
-70.0,5,5.285048
-70.0,5,5.289474
-95.0,5,5.294822
-95.0,5,5.298847
-70.0,5,5.303841
-95.0,5,5.307728
-95.0,5,5.314163
-120.0,5,5.317549
-70.0,5,5.32207
-70.0,5,5.326552
-95.0,5,5.333474
-120.0,5,5.33766
-70.0,5,5.34153
-95.0,5,5.345476
-120.0,5,5.351352
-70.0,5,5.355753
-95.0,5,5.359587
-95.0,5,5.363841
-120.0,5,5.371551
-70.0,5,5.375824
-95.0,5,5.380093
