#{"t_start": 1757611876.3384564, "env_id": "None"}
r,l,t
-120.0,5,16.554168
-120.0,5,16.560723
-120.0,5,16.565248
-120.0,5,16.570121
-120.0,5,16.574672
-120.0,5,16.582492
-120.0,5,16.586914
-120.0,5,16.591096
-120.0,5,16.595741
-120.0,5,16.602251
-120.0,5,16.606832
-120.0,5,16.611287
-120.0,5,16.615785
-120.0,5,16.622341
-120.0,5,16.62689
-120.0,5,16.633227
-120.0,5,16.638264
-120.0,5,16.644689
-120.0,5,16.649103
-120.0,5,16.653254
-120.0,5,16.65772
-120.0,5,16.664167
-120.0,5,16.668706
-120.0,5,16.673107
-120.0,5,16.67762
-120.0,5,16.686534
-120.0,5,16.695035
-120.0,5,16.702428
-120.0,5,16.708688
-120.0,5,16.716408
-120.0,5,16.721324
-120.0,5,16.726557
-120.0,5,16.731477
-120.0,5,16.738506
-120.0,5,16.743521
-95.0,5,16.751107
-120.0,5,16.757212
-120.0,5,16.764792
-120.0,5,16.769953
-120.0,5,16.774468
-120.0,5,16.78152
-120.0,5,16.79514
-120.0,5,16.800952
-120.0,5,16.807395
-120.0,5,16.816484
-120.0,5,16.826648
-120.0,5,16.83202
-120.0,5,16.83754
-120.0,5,16.842351
-120.0,5,16.849349
-120.0,5,16.854313
-120.0,5,16.858864
-120.0,5,16.863431
-120.0,5,16.87025
-120.0,5,16.874793
-120.0,5,16.881347
-120.0,5,16.887276
-120.0,5,16.894428
-120.0,5,16.899182
-120.0,5,16.903861
-120.0,5,16.908419
-120.0,5,16.914729
-120.0,5,16.91938
-120.0,5,16.924248
-120.0,5,16.928708
-120.0,5,16.937424
-120.0,5,16.94286
-120.0,5,16.947678
-120.0,5,16.952361
-120.0,5,16.958337
-120.0,5,16.962232
-120.0,5,16.966706
-120.0,5,16.971364
-120.0,5,16.977962
-120.0,5,16.982473
-120.0,5,16.988694
-120.0,5,16.993384
-120.0,5,16.999785
-120.0,5,17.007537
-120.0,5,17.013936
-120.0,5,17.019461
-120.0,5,17.026391
-120.0,5,17.031034
-120.0,5,17.035435
-120.0,5,17.039892
-120.0,5,17.048937
-120.0,5,17.054064
-120.0,5,17.059141
-120.0,5,17.06392
-120.0,5,17.070622
-120.0,5,17.075925
-120.0,5,17.08117
-120.0,5,17.08558
-120.0,5,17.092243
-120.0,5,17.098514
-120.0,5,17.105093
-120.0,5,17.110297
-120.0,5,17.118247
-120.0,5,17.123408
-120.0,5,17.128364
-120.0,5,17.133052
-120.0,5,17.139374
-120.0,5,17.143198
-120.0,5,17.147572
-120.0,5,17.152146
-120.0,5,17.160209
-120.0,5,17.166813
-120.0,5,17.172257
-120.0,5,17.177354
-120.0,5,17.187454
-120.0,5,17.196042
-120.0,5,17.201774
-120.0,5,17.208497
-120.0,5,17.216119
-120.0,5,17.221853
-120.0,5,17.228817
-120.0,5,17.23385
-120.0,5,17.24058
-120.0,5,17.245185
-120.0,5,17.249761
-95.0,5,17.25402
-120.0,5,17.26037
-120.0,5,17.264758
-120.0,5,17.269367
-120.0,5,17.273805
-120.0,5,17.282286
-120.0,5,17.287205
-120.0,5,17.291677
-120.0,5,17.29599
-95.0,5,17.301838
-120.0,5,17.306246
-120.0,5,17.310702
-120.0,5,17.315198
-120.0,5,17.321811
-95.0,5,17.326849
-120.0,5,17.33312
-120.0,5,17.337809
-120.0,5,17.344235
-120.0,5,17.348753
-120.0,5,17.353231
-120.0,5,17.357804
-120.0,5,17.364235
-120.0,5,17.368738
-120.0,5,17.373353
-120.0,5,17.377843
-95.0,5,17.386344
-120.0,5,17.391141
-120.0,5,17.396049
-120.0,5,17.40146
-120.0,5,17.409254
-120.0,5,17.414704
-120.0,5,17.419811
-120.0,5,17.425505
-120.0,5,17.432856
-120.0,5,17.438587
-120.0,5,17.444967
-120.0,5,17.449709
-120.0,5,17.456804
-120.0,5,17.461107
-120.0,5,17.46563
-120.0,5,17.4702
-120.0,5,17.476527
-120.0,5,17.480998
-120.0,5,17.485701
-120.0,5,17.490369
-120.0,5,17.498936
-120.0,5,17.504194
-120.0,5,17.509351
-120.0,5,17.514525
-120.0,5,17.521392
-120.0,5,17.526222
-120.0,5,17.532384
-120.0,5,17.538321
-120.0,5,17.546215
-120.0,5,17.55425
-120.0,5,17.563048
-120.0,5,17.570119
-120.0,5,17.578304
-120.0,5,17.583937
-95.0,5,17.589468
-120.0,5,17.595367
-120.0,5,17.603703
-120.0,5,17.608992
-120.0,5,17.613921
-120.0,5,17.618356
-120.0,5,17.626322
-120.0,5,17.631111
-120.0,5,17.635585
-95.0,5,17.6397
-120.0,5,17.647448
-120.0,5,17.653032
-120.0,5,17.65809
-120.0,5,17.66261
-95.0,5,17.671665
-120.0,5,17.680952
-120.0,5,17.687881
-95.0,5,17.695152
-120.0,5,17.705477
-120.0,5,17.71102
-120.0,5,17.716442
-120.0,5,17.722788
-120.0,5,17.730579
-120.0,5,17.737372
-120.0,5,17.743198
-120.0,5,17.74857
-120.0,5,17.759048
-120.0,5,17.767073
-120.0,5,17.773753
-120.0,5,17.779682
-120.0,5,17.788575
-120.0,5,17.795181
-120.0,5,17.800408
-120.0,5,17.80581
-120.0,5,17.81419
-120.0,5,17.819951
-120.0,5,17.825426
-120.0,5,17.83057
-120.0,5,17.838855
-120.0,5,17.84387
-95.0,5,17.848199
-120.0,5,17.852782
-120.0,5,17.858921
-120.0,5,17.86329
-120.0,5,17.869792
-120.0,5,17.875541
-120.0,5,17.884781
-120.0,5,17.891691
-120.0,5,17.899153
-120.0,5,17.906003
-120.0,5,17.914338
-120.0,5,17.920266
-120.0,5,17.92755
-120.0,5,17.933571
-120.0,5,17.942785
-120.0,5,17.948395
-120.0,5,17.95401
-120.0,5,17.960848
-120.0,5,17.973321
-120.0,5,17.979684
-120.0,5,17.984713
-120.0,5,17.990048
-120.0,5,17.997249
-120.0,5,18.002384
-120.0,5,18.007444
-120.0,5,18.012045
-95.0,5,18.020339
-120.0,5,18.025497
-120.0,5,18.030224
-120.0,5,18.035219
-120.0,5,18.042102
-120.0,5,18.047806
-120.0,5,18.052852
-120.0,5,18.057442
-95.0,5,18.06391
-120.0,5,18.068609
-120.0,5,18.074517
-120.0,5,18.080177
-120.0,5,18.087118
-120.0,5,18.091669
-120.0,5,18.095834
-95.0,5,18.099639
-120.0,5,18.10601
-120.0,5,18.110162
-120.0,5,18.11497
-120.0,5,18.119384
-120.0,5,18.128484
-120.0,5,18.13424
-120.0,5,18.139391
-120.0,5,18.143942
-95.0,5,18.150021
-120.0,5,18.154512
-120.0,5,18.15902
-120.0,5,18.163442
-120.0,5,18.169942
-120.0,5,18.17546
-120.0,5,18.181051
-120.0,5,18.185484
-120.0,5,18.191832
-120.0,5,18.196249
-120.0,5,18.20063
-120.0,5,18.205045
-95.0,5,18.210966
-120.0,5,18.215305
-120.0,5,18.219705
-120.0,5,18.224121
-120.0,5,18.231692
-120.0,5,18.23667
-120.0,5,18.24079
-120.0,5,18.24494
-120.0,5,18.251324
-120.0,5,18.255866
-120.0,5,18.260269
-120.0,5,18.26467
-120.0,5,18.271218
-120.0,5,18.275702
-120.0,5,18.281125
-120.0,5,18.285954
-120.0,5,18.292287
-120.0,5,18.297165
-120.0,5,18.30177
-120.0,5,18.306521
-120.0,5,18.314244
-120.0,5,18.318881
-95.0,5,18.324132
-120.0,5,18.328712
-120.0,5,18.33807
-120.0,5,18.342676
-120.0,5,18.347248
-120.0,5,18.352185
-120.0,5,18.358639
-120.0,5,18.363047
-120.0,5,18.367185
-120.0,5,18.372108
-120.0,5,18.379533
-120.0,5,18.38444
-120.0,5,18.39079
-120.0,5,18.395485
-120.0,5,18.402362
-120.0,5,18.40659
-120.0,5,18.411062
-120.0,5,18.415667
-120.0,5,18.42233
-120.0,5,18.427856
-120.0,5,18.433392
-120.0,5,18.438225
-120.0,5,18.446523
-120.0,5,18.451378
-120.0,5,18.455885
-120.0,5,18.462704
-95.0,5,18.473479
-95.0,5,18.479581
-120.0,5,18.485191
-120.0,5,18.490284
-120.0,5,18.497732
-120.0,5,18.503204
-120.0,5,18.511775
-95.0,5,18.51709
-120.0,5,18.526876
-120.0,5,18.534022
-120.0,5,18.541687
-120.0,5,18.547543
-120.0,5,18.555515
-120.0,5,18.561364
-120.0,5,18.566603
-120.0,5,18.572085
-120.0,5,18.580736
-120.0,5,18.586739
-120.0,5,18.592339
-120.0,5,18.597424
-120.0,5,18.604468
-120.0,5,18.611151
-120.0,5,18.617141
-120.0,5,18.623304
-120.0,5,18.631457
-120.0,5,18.637889
-120.0,5,18.64369
-120.0,5,18.648837
-120.0,5,18.656118
-120.0,5,18.660781
-120.0,5,18.665398
-120.0,5,18.670108
-120.0,5,18.6773
-120.0,5,18.681848
-120.0,5,18.686636
-120.0,5,18.690844
-95.0,5,18.698509
-120.0,5,18.703397
-120.0,5,18.708425
-120.0,5,18.713106
-120.0,5,18.719473
-120.0,5,18.724001
-120.0,5,18.728525
-120.0,5,18.733009
-120.0,5,18.740905
-95.0,5,18.745773
-120.0,5,18.751224
-120.0,5,18.757648
-120.0,5,18.764551
-120.0,5,18.769315
-120.0,5,18.773904
-120.0,5,18.778102
-120.0,5,18.787752
-120.0,5,18.794482
-120.0,5,18.800291
-120.0,5,18.805941
-120.0,5,18.814265
-120.0,5,18.819657
-120.0,5,18.825727
-120.0,5,18.831756
-120.0,5,18.83863
-120.0,5,18.842888
-120.0,5,18.847415
-120.0,5,18.851896
-120.0,5,18.85852
-120.0,5,18.863057
-120.0,5,18.869381
-120.0,5,18.874215
-120.0,5,18.880507
-120.0,5,18.885031
-120.0,5,18.889449
-120.0,5,18.89395
-120.0,5,18.900164
-120.0,5,18.904632
-120.0,5,18.909343
-120.0,5,18.91378
-120.0,5,18.921907
-95.0,5,18.926553
-95.0,5,18.931048
-120.0,5,18.935771
-120.0,5,18.942896
-120.0,5,18.947648
-120.0,5,18.952495
-120.0,5,18.95722
-120.0,5,18.963923
-120.0,5,18.968653
-120.0,5,18.973719
-120.0,5,18.979851
-120.0,5,18.98685
-120.0,5,18.991038
-120.0,5,18.995164
-120.0,5,18.999201
-95.0,5,19.005258
-120.0,5,19.009715
-120.0,5,19.014336
-120.0,5,19.018818
-120.0,5,19.026646
-120.0,5,19.032059
-120.0,5,19.036916
-120.0,5,19.041956
-120.0,5,19.050916
-95.0,5,19.056665
-120.0,5,19.061523
-120.0,5,19.065882
-120.0,5,19.072536
-120.0,5,19.077136
-120.0,5,19.083374
-120.0,5,19.088783
-120.0,5,19.095772
-120.0,5,19.100304
-120.0,5,19.104433
-120.0,5,19.108837
-120.0,5,19.115241
-120.0,5,19.119867
-120.0,5,19.12504
-120.0,5,19.129631
-120.0,5,19.137688
-120.0,5,19.141923
-120.0,5,19.14644
-120.0,5,19.151074
-95.0,5,19.15953
-120.0,5,19.164877
-95.0,5,19.169369
-120.0,5,19.173782
-120.0,5,19.180423
-120.0,5,19.185092
-120.0,5,19.189907
-120.0,5,19.19612
-120.0,5,19.202558
-120.0,5,19.206917
-120.0,5,19.211306
-120.0,5,19.215694
-120.0,5,19.222034
-120.0,5,19.22729
-120.0,5,19.233232
-120.0,5,19.238028
-120.0,5,19.246876
-120.0,5,19.252266
-120.0,5,19.257335
-120.0,5,19.261683
-120.0,5,19.268475
-120.0,5,19.272944
-120.0,5,19.277348
-120.0,5,19.281463
-120.0,5,19.288096
-120.0,5,19.292681
-120.0,5,19.29851
-120.0,5,19.303382
-120.0,5,19.309721
-120.0,5,19.31414
-120.0,5,19.31854
-120.0,5,19.322927
-120.0,5,19.329243
-120.0,5,19.333754
-120.0,5,19.338383
-120.0,5,19.342782
-120.0,5,19.350573
-120.0,5,19.355339
-120.0,5,19.359711
-120.0,5,19.363765
-120.0,5,19.370088
-95.0,5,19.373818
-120.0,5,19.378222
-120.0,5,19.382397
-120.0,5,19.389012
-120.0,5,19.393583
-120.0,5,19.399695
-120.0,5,19.404026
-120.0,5,19.411487
-120.0,5,19.416191
-120.0,5,19.420359
-120.0,5,19.424777
-95.0,5,19.430781
-120.0,5,19.435262
-120.0,5,19.440167
-120.0,5,19.444804
-120.0,5,19.453037
-120.0,5,19.457771
-120.0,5,19.462404
-120.0,5,19.467068
-120.0,5,19.474149
-120.0,5,19.478765
-120.0,5,19.483499
-120.0,5,19.487915
-120.0,5,19.495048
-120.0,5,19.505036
-120.0,5,19.511517
-120.0,5,19.517193
-120.0,5,19.524415
-120.0,5,19.528737
-120.0,5,19.534188
-120.0,5,19.539338
-120.0,5,19.546345
-120.0,5,19.551043
-120.0,5,19.555954
-120.0,5,19.56085
-120.0,5,19.569356
-120.0,5,19.574581
-120.0,5,19.579362
-120.0,5,19.584027
-120.0,5,19.590386
-120.0,5,19.594499
-120.0,5,19.599094
-95.0,5,19.602838
-120.0,5,19.609248
-120.0,5,19.613733
-120.0,5,19.620087
-95.0,5,19.625036
-120.0,5,19.631859
-120.0,5,19.636284
-120.0,5,19.640779
-120.0,5,19.645178
-120.0,5,19.651388
-120.0,5,19.656186
-95.0,5,19.660866
-120.0,5,19.66561
-120.0,5,19.672575
-120.0,5,19.6781
-120.0,5,19.682663
-120.0,5,19.687221
-120.0,5,19.693448
-120.0,5,19.697845
-120.0,5,19.7023
-120.0,5,19.706749
-120.0,5,19.713331
-120.0,5,19.71792
-120.0,5,19.72264
-120.0,5,19.728789
-120.0,5,19.735907
-95.0,5,19.740025
-120.0,5,19.744426
-120.0,5,19.748763
-120.0,5,19.755085
-120.0,5,19.762086
-120.0,5,19.770627
-120.0,5,19.777448
-120.0,5,19.785237
-120.0,5,19.791245
-120.0,5,19.796767
-95.0,5,19.801294
-120.0,5,19.808996
-120.0,5,19.813576
-120.0,5,19.818235
-120.0,5,19.822735
-120.0,5,19.829379
-120.0,5,19.83459
-120.0,5,19.840751
-120.0,5,19.846045
-120.0,5,19.853035
-120.0,5,19.858101
-120.0,5,19.863757
-120.0,5,19.868692
-120.0,5,19.875456
-120.0,5,19.879525
-120.0,5,19.884637
-120.0,5,19.889316
-120.0,5,19.897214
-120.0,5,19.901984
-120.0,5,19.906419
-120.0,5,19.910838
-120.0,5,19.917139
-95.0,5,19.921083
-120.0,5,19.925488
-120.0,5,19.929822
-120.0,5,19.93791
-120.0,5,19.943578
-120.0,5,19.95128
-120.0,5,19.95877
-120.0,5,19.966778
-120.0,5,19.972805
-120.0,5,19.978327
-120.0,5,19.983943
-120.0,5,19.990705
-120.0,5,19.995313
-120.0,5,20.000331
-120.0,5,20.004835
-120.0,5,20.013602
-120.0,5,20.018668
-120.0,5,20.023168
-120.0,5,20.027643
-120.0,5,20.0339
-120.0,5,20.03825
-120.0,5,20.042656
-120.0,5,20.046819
-120.0,5,20.053452
-95.0,5,20.057866
-95.0,5,20.063718
-120.0,5,20.068728
-120.0,5,20.075065
-120.0,5,20.079477
-120.0,5,20.083915
-120.0,5,20.088296
-120.0,5,20.094258
-120.0,5,20.098661
-120.0,5,20.103536
-120.0,5,20.107974
-120.0,5,20.11621
-120.0,5,20.121033
-120.0,5,20.125452
-120.0,5,20.129788
-120.0,5,20.136373
-120.0,5,20.141086
-120.0,5,20.145521
-95.0,5,20.149649
-120.0,5,20.155962
-120.0,5,20.160325
-120.0,5,20.166329
-120.0,5,20.171557
-120.0,5,20.181072
-95.0,5,20.188997
-120.0,5,20.196234
-120.0,5,20.20219
-120.0,5,20.211153
-120.0,5,20.218789
-120.0,5,20.225913
-120.0,5,20.231621
-120.0,5,20.242089
-120.0,5,20.247304
-120.0,5,20.252454
-120.0,5,20.25741
-120.0,5,20.264123
-120.0,5,20.268806
-120.0,5,20.273421
-120.0,5,20.277863
-120.0,5,20.284516
-120.0,5,20.289986
-120.0,5,20.296347
-95.0,5,20.301274
-120.0,5,20.310662
-95.0,5,20.315563
-120.0,5,20.321176
-120.0,5,20.326869
-120.0,5,20.333731
-120.0,5,20.3387
-120.0,5,20.343443
-120.0,5,20.347891
-120.0,5,20.356457
-120.0,5,20.361132
-120.0,5,20.365678
-120.0,5,20.370548
-120.0,5,20.377577
-120.0,5,20.382204
-120.0,5,20.386625
-120.0,5,20.3916
-120.0,5,20.398247
-120.0,5,20.402604
-120.0,5,20.408491
-120.0,5,20.413491
-120.0,5,20.420228
-120.0,5,20.424643
-120.0,5,20.429625
-120.0,5,20.434111
-120.0,5,20.440832
-120.0,5,20.445536
-120.0,5,20.45051
-95.0,5,20.454764
-120.0,5,20.463394
-120.0,5,20.468643
-120.0,5,20.47284
-120.0,5,20.478162
-120.0,5,20.485433
-120.0,5,20.490248
-95.0,5,20.494153
-120.0,5,20.498646
-120.0,5,20.505681
-120.0,5,20.510308
-120.0,5,20.516265
-120.0,5,20.520677
-120.0,5,20.526833
-120.0,5,20.531667
-120.0,5,20.536132
-120.0,5,20.540613
-120.0,5,20.547036
-120.0,5,20.551637
-120.0,5,20.557137
-120.0,5,20.561878
-120.0,5,20.571494
-120.0,5,20.577311
-120.0,5,20.583417
-120.0,5,20.58827
-120.0,5,20.594803
-120.0,5,20.599127
-120.0,5,20.603743
-120.0,5,20.608313
-120.0,5,20.614978
-120.0,5,20.619613
-120.0,5,20.625941
-120.0,5,20.631611
-120.0,5,20.638681
-120.0,5,20.643124
-120.0,5,20.64791
-120.0,5,20.652183
-120.0,5,20.65835
-120.0,5,20.66279
-120.0,5,20.667564
-120.0,5,20.671975
-120.0,5,20.681781
-120.0,5,20.687362
-120.0,5,20.692302
-120.0,5,20.698469
-120.0,5,20.709993
-120.0,5,20.715586
-120.0,5,20.722247
-120.0,5,20.727907
-120.0,5,20.735412
-95.0,5,20.740515
-120.0,5,20.746933
-120.0,5,20.752118
-120.0,5,20.759181
-120.0,5,20.763574
-120.0,5,20.768353
-120.0,5,20.772882
-120.0,5,20.779338
-120.0,5,20.783751
-120.0,5,20.788315
-120.0,5,20.792702
-120.0,5,20.801054
-120.0,5,20.805921
-120.0,5,20.812187
-120.0,5,20.817032
-120.0,5,20.823388
-95.0,5,20.827425
-120.0,5,20.831464
-120.0,5,20.835726
-120.0,5,20.843245
-120.0,5,20.848277
-120.0,5,20.853984
-120.0,5,20.858598
-120.0,5,20.865095
-120.0,5,20.869574
-120.0,5,20.873554
-120.0,5,20.877975
-120.0,5,20.884363
-120.0,5,20.889204
-120.0,5,20.894445
-120.0,5,20.89899
-120.0,5,20.907146
-120.0,5,20.913664
-120.0,5,20.918675
-120.0,5,20.9235
-120.0,5,20.930034
-120.0,5,20.934591
-120.0,5,20.939062
-120.0,5,20.943521
-120.0,5,20.949634
-120.0,5,20.95378
-120.0,5,20.960058
-120.0,5,20.965117
-120.0,5,20.971698
-120.0,5,20.976127
-120.0,5,20.980236
-120.0,5,20.984919
-120.0,5,20.99133
-120.0,5,20.995856
-120.0,5,21.000183
-120.0,5,21.00463
-120.0,5,21.013558
-120.0,5,21.019102
-120.0,5,21.023893
-120.0,5,21.02833
-120.0,5,21.034677
-120.0,5,21.03908
-120.0,5,21.043467
-120.0,5,21.04834
-120.0,5,21.055522
-120.0,5,21.060188
-95.0,5,21.065485
-120.0,5,21.070661
-120.0,5,21.077191
-120.0,5,21.081656
-120.0,5,21.0862
-120.0,5,21.090792
-120.0,5,21.097469
-120.0,5,21.101894
-120.0,5,21.106328
-120.0,5,21.11063
-120.0,5,21.118575
-120.0,5,21.123213
-120.0,5,21.127629
-120.0,5,21.132036
-120.0,5,21.138295
-120.0,5,21.142705
-120.0,5,21.147165
-120.0,5,21.151332
-120.0,5,21.157475
-120.0,5,21.161889
-120.0,5,21.168624
-120.0,5,21.174156
-120.0,5,21.180844
-120.0,5,21.185063
-120.0,5,21.189517
-120.0,5,21.193728
-120.0,5,21.200794
-120.0,5,21.20617
-120.0,5,21.211544
-120.0,5,21.216771
-120.0,5,21.224633
-120.0,5,21.230145
-120.0,5,21.234684
-120.0,5,21.239181
-120.0,5,21.245639
-120.0,5,21.249992
-120.0,5,21.254358
-120.0,5,21.258924
-120.0,5,21.265572
-120.0,5,21.269853
-120.0,5,21.276265
-120.0,5,21.280713
-120.0,5,21.286787
-120.0,5,21.292467
-120.0,5,21.296858
-120.0,5,21.300961
-120.0,5,21.308302
-120.0,5,21.31533
-120.0,5,21.321577
-120.0,5,21.328053
-120.0,5,21.335643
-120.0,5,21.341618
-120.0,5,21.350338
-120.0,5,21.35868
-120.0,5,21.368135
-120.0,5,21.3745
-120.0,5,21.380468
-120.0,5,21.385929
-95.0,5,21.392781
-120.0,5,21.39762
-95.0,5,21.404543
-120.0,5,21.409854
-120.0,5,21.417103
-120.0,5,21.422097
-120.0,5,21.426365
-120.0,5,21.434117
-120.0,5,21.446433
-120.0,5,21.453709
-120.0,5,21.461653
-120.0,5,21.467207
-120.0,5,21.477442
-120.0,5,21.482876
-120.0,5,21.48804
-120.0,5,21.492979
-120.0,5,21.499528
-120.0,5,21.503991
-120.0,5,21.508506
-120.0,5,21.513615
-120.0,5,21.520655
-120.0,5,21.525422
-120.0,5,21.532179
-120.0,5,21.538027
-120.0,5,21.544855
-120.0,5,21.549304
-120.0,5,21.553769
-120.0,5,21.557861
-120.0,5,21.564224
-120.0,5,21.568789
-120.0,5,21.573694
-120.0,5,21.578102
-120.0,5,21.58829
-120.0,5,21.595083
-120.0,5,21.600951
-120.0,5,21.607156
-120.0,5,21.615766
-120.0,5,21.621855
-120.0,5,21.627235
-120.0,5,21.632334
-120.0,5,21.640279
-120.0,5,21.645758
-95.0,5,21.651001
-120.0,5,21.656199
-120.0,5,21.662461
-120.0,5,21.667257
-120.0,5,21.672091
-120.0,5,21.676671
-120.0,5,21.682997
-120.0,5,21.687629
-120.0,5,21.692321
-120.0,5,21.696767
-120.0,5,21.705176
-120.0,5,21.70993
-120.0,5,21.716385
-95.0,5,21.724421
-120.0,5,21.733088
-120.0,5,21.739952
-120.0,5,21.745873
-120.0,5,21.750941
-120.0,5,21.758418
-120.0,5,21.763794
-120.0,5,21.769964
-120.0,5,21.774708
-120.0,5,21.781406
-120.0,5,21.786018
-120.0,5,21.7907
-120.0,5,21.794624
-120.0,5,21.801064
-120.0,5,21.805481
-120.0,5,21.80979
-120.0,5,21.814187
-120.0,5,21.822074
-120.0,5,21.826699
-120.0,5,21.830867
-120.0,5,21.835377
-120.0,5,21.841086
-120.0,5,21.845499
-120.0,5,21.849937
-120.0,5,21.854318
-120.0,5,21.860816
-120.0,5,21.865324
-120.0,5,21.871912
-120.0,5,21.87665
-120.0,5,21.88314
-120.0,5,21.887343
-120.0,5,21.89179
-120.0,5,21.897733
-120.0,5,21.905208
-120.0,5,21.910198
-120.0,5,21.914523
-120.0,5,21.920027
-120.0,5,21.93323
-120.0,5,21.939259
-120.0,5,21.945101
-120.0,5,21.949636
-120.0,5,21.957378
-120.0,5,21.962593
-120.0,5,21.970376
-120.0,5,21.977538
-120.0,5,21.985697
-120.0,5,21.991405
-120.0,5,21.996588
-120.0,5,22.001728
-120.0,5,22.009898
-120.0,5,22.014809
-120.0,5,22.019874
-120.0,5,22.024617
-120.0,5,22.032467
-120.0,5,22.038093
-120.0,5,22.043712
-95.0,5,22.048596
-120.0,5,22.058655
-120.0,5,22.065083
-120.0,5,22.070515
-120.0,5,22.076701
-120.0,5,22.083969
-120.0,5,22.088714
-120.0,5,22.093772
-120.0,5,22.098585
-120.0,5,22.105392
-120.0,5,22.110198
-120.0,5,22.117985
-120.0,5,22.124482
-120.0,5,22.13222
-95.0,5,22.137098
-120.0,5,22.14183
-120.0,5,22.146414
-95.0,5,22.152803
-120.0,5,22.157422
-120.0,5,22.162113
-120.0,5,22.166369
-120.0,5,22.173336
-120.0,5,22.178937
-120.0,5,22.183365
-120.0,5,22.188014
-120.0,5,22.193976
-120.0,5,22.198446
-120.0,5,22.20285
-120.0,5,22.20734
-120.0,5,22.213942
-120.0,5,22.218654
-120.0,5,22.224419
-120.0,5,22.229546
-120.0,5,22.236273
-120.0,5,22.240374
-120.0,5,22.244782
-120.0,5,22.24892
-120.0,5,22.255329
-120.0,5,22.260153
-120.0,5,22.265149
-120.0,5,22.269895
-120.0,5,22.277514
-120.0,5,22.281996
-120.0,5,22.28739
-120.0,5,22.292292
-120.0,5,22.298912
-120.0,5,22.303423
-120.0,5,22.308142
-120.0,5,22.313369
-120.0,5,22.320709
-120.0,5,22.3259
-120.0,5,22.332064
-120.0,5,22.336878
-120.0,5,22.343233
-120.0,5,22.347756
-120.0,5,22.352368
-120.0,5,22.356767
-120.0,5,22.363065
-120.0,5,22.367498
-95.0,5,22.371758
-120.0,5,22.375847
-120.0,5,22.384606
-95.0,5,22.389532
-120.0,5,22.394315
-120.0,5,22.398485
-120.0,5,22.404838
-95.0,5,22.408991
-120.0,5,22.413422
-120.0,5,22.418186
-120.0,5,22.425303
-95.0,5,22.429593
-120.0,5,22.436234
-120.0,5,22.441833
-120.0,5,22.448686
-120.0,5,22.452944
-120.0,5,22.457339
-120.0,5,22.461839
-120.0,5,22.468112
-120.0,5,22.472529
-120.0,5,22.477104
-120.0,5,22.481542
-120.0,5,22.4884
-120.0,5,22.496194
-120.0,5,22.501476
-120.0,5,22.506487
-120.0,5,22.513372
-120.0,5,22.51946
-120.0,5,22.527455
-120.0,5,22.533534
-120.0,5,22.541489
-120.0,5,22.547716
-120.0,5,22.553211
-120.0,5,22.559685
-120.0,5,22.567427
-120.0,5,22.572636
-120.0,5,22.577333
-120.0,5,22.582289
-120.0,5,22.591023
-120.0,5,22.596192
-120.0,5,22.601873
-120.0,5,22.606577
-120.0,5,22.616013
-120.0,5,22.6211
-95.0,5,22.625021
-120.0,5,22.629785
-120.0,5,22.636273
-120.0,5,22.640351
-95.0,5,22.645168
-120.0,5,22.650319
-120.0,5,22.657206
-120.0,5,22.661966
-120.0,5,22.668197
-120.0,5,22.672605
-120.0,5,22.678915
-120.0,5,22.683332
-95.0,5,22.687427
-120.0,5,22.691833
-120.0,5,22.698258
-120.0,5,22.702899
-95.0,5,22.707324
-120.0,5,22.711775
-120.0,5,22.720571
-95.0,5,22.727268
-120.0,5,22.732329
-120.0,5,22.738899
-95.0,5,22.747707
-120.0,5,22.752778
-120.0,5,22.757379
-120.0,5,22.762125
-120.0,5,22.769255
-120.0,5,22.77419
-120.0,5,22.780851
-120.0,5,22.785792
-120.0,5,22.792363
-120.0,5,22.797954
-120.0,5,22.802869
-95.0,5,22.807088
-120.0,5,22.813415
-120.0,5,22.820501
-120.0,5,22.827263
-120.0,5,22.833334
-120.0,5,22.843486
-120.0,5,22.848366
-120.0,5,22.853489
-120.0,5,22.858221
-120.0,5,22.865265
-120.0,5,22.870846
-120.0,5,22.875176
-120.0,5,22.879796
-120.0,5,22.886779
-120.0,5,22.891154
-95.0,5,22.89685
-120.0,5,22.90166
-120.0,5,22.90822
-120.0,5,22.912318
-120.0,5,22.916969
-120.0,5,22.921658
-120.0,5,22.928052
-120.0,5,22.93248
-120.0,5,22.93722
-120.0,5,22.941984
-120.0,5,22.950056
-120.0,5,22.954455
-120.0,5,22.958921
-120.0,5,22.963373
-120.0,5,22.969653
-95.0,5,22.973689
-120.0,5,22.978176
-120.0,5,22.982596
-120.0,5,22.989157
-120.0,5,22.993669
-95.0,5,22.999156
-120.0,5,23.003777
-120.0,5,23.01008
-120.0,5,23.014539
-120.0,5,23.018975
-120.0,5,23.023515
-95.0,5,23.029269
-120.0,5,23.03352
-120.0,5,23.03857
-120.0,5,23.043059
-120.0,5,23.051311
-120.0,5,23.055706
-120.0,5,23.060267
-120.0,5,23.064663
-120.0,5,23.071105
-120.0,5,23.07558
-120.0,5,23.080002
-120.0,5,23.084453
-120.0,5,23.090572
-120.0,5,23.095555
-120.0,5,23.102545
-120.0,5,23.108633
-120.0,5,23.115746
-120.0,5,23.12032
-120.0,5,23.124728
-120.0,5,23.129282
-120.0,5,23.135849
-120.0,5,23.140649
